age,education,loan_amount,asset_cost,no_of_loans,no_of_curr_loans,loan_default,proof_submitted_Driving,proof_submitted_PAN,proof_submitted_Passport,proof_submitted_VoterID
27,1,504264,820920,2,2,0,0,0,0,0
48,1,728556,831444,6,2,0,0,0,0,0
30,2,642936,826092,0,0,1,0,0,0,1
28,1,746556,930924,0,0,0,0,0,0,0
29,1,976728,1197336,0,0,0,0,0,0,0
34,2,779784,902040,0,0,1,0,0,0,0
27,2,449268,847896,0,0,0,0,0,0,0
27,2,582036,905604,0,0,1,0,0,0,0
30,1,712956,866292,0,0,0,0,0,0,0
46,2,554988,761724,3,0,1,0,0,0,0
32,2,654156,756348,0,0,1,0,0,0,0
30,1,639636,840084,3,3,0,1,0,0,0
30,2,615636,929004,0,0,0,0,0,0,0
36,2,523464,779244,0,0,0,0,0,0,0
46,2,667356,808884,7,3,0,0,0,0,0
25,2,532188,722976,0,0,0,0,0,0,0
38,2,663108,784920,0,0,0,0,0,0,0
46,1,622536,872448,5,3,1,0,0,0,1
40,2,602916,764868,4,2,0,0,0,0,0
38,2,577740,897240,7.5,4,0,0,0,0,0
34,2,588588,857136,0,0,1,0,0,0,0
41,1,710556,896244,0,0,1,0,0,0,0
34,1,429228,828744,5,4,1,0,0,0,0
44,2,615636,818520,2,0,0,0,0,0,0
32,1,699108,805092,7.5,5,0,0,0,0,0
28,1,696156,843012,0,0,1,0,0,0,0
47,2,701364,924468,0,0,0,0,1,0,0
33,1,904212,1197336,2,0,0,0,0,0,0
33,2,627636,841380,0,0,1,0,0,0,0
27,2,532188,953868,3,3,1,0,0,0,0
42,1,496728,721548,7.5,5,0,0,0,0,0
26,1,873780,1197336,0,0,0,0,0,0,0
44,1,606636,939036,7.5,3,0,0,0,0,0
45,2,636936,846984,0,0,1,0,0,0,1
27,2,588036,1197336,0,0,0,0,0,0,0
28,1,739764,1197336,0,0,0,0,0,0,0
29,2,742956,1072104,0,0,1,0,0,0,0
34,1,698148,884304,0,0,0,0,0,0,0
36,2,766584,1197336,2,0,0,1,0,0,0
41,2,966396,1197336,0,0,0,0,0,0,0
33,1,830028,1165872,2,2,1,0,0,0,0
38,2,560988,707244,3,2,0,0,0,0,0
30,2,446868,704136,0,0,0,0,0,0,0
45,1,673908,767352,2,0,0,0,0,0,0
34,2,750564,859200,5,3,1,0,1,0,0
37,2,520728,843792,2,0,0,0,0,0,0
34,2,630636,782496,5,2,0,0,0,0,0
40,1,664956,886200,0,0,1,0,0,0,0
37,1,577740,832056,0,0,0,0,0,0,1
28,1,401808,571692,0,0,0,0,0,0,0
31,2,544188,674592,2,2,0,0,0,0,0
